Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
  44    4.7032E-001   -1.2462E+000   109    36
  45    4.2329E-001   -1.1840E+000   113    34
  46    3.8096E-001   -7.6449E-001   113    43
  47    3.4287E-001   -1.4089E+000   113    35
  48    3.0858E-001   -1.2693E+000   114    34
  49    2.7772E-001   -6.9810E-001   110    37
  50    2.4995E-001   -1.0113E+000   113    36
  51    2.2495E-001   -1.2749E+000   114    37
  52    2.0246E-001   -1.5775E+000   106    34
  53    1.8221E-001   -1.3716E+000   113    39
  54    1.6399E-001   -1.5317E+000   108    31
  55    1.4759E-001   -1.5976E+000   111    38
  56    1.3283E-001   -1.4257E+000   108    41
  57    1.1955E-001   -1.3868E+000   117    37
  58    1.0760E-001   -1.5774E+000   115    39
  59    9.6836E-002   -1.5663E+000   115    40
  60    8.7152E-002   -1.5054E+000   110    40
  61    7.8437E-002   -1.5106E+000   112    36
  62    7.0593E-002   -1.5987E+000   107    41
  63    6.3534E-002   -1.5698E+000   115    35
  64    5.7180E-002   -1.6054E+000   109    36
  65    5.1462E-002   -1.5185E+000   121    38
  66    4.6316E-002   -1.5841E+000   110    39
  67    4.1685E-002   -1.5860E+000   114    30
  68    3.7516E-002   -1.4995E+000   120    43
  69    3.3765E-002   -1.5977E+000   111    33
  70    3.0388E-002   -1.6025E+000   112    37
  71    2.7349E-002   -1.5853E+000   118    35
  72    2.4614E-002   -1.5595E+000   105    39
  73    2.2153E-002   -1.5971E+000   112    42
  74    1.9938E-002   -1.5945E+000   108    35
  75    1.7944E-002   -1.5992E+000   115    36
  76    1.6149E-002   -1.6034E+000   115    39
  77    1.4535E-002   -1.6007E+000   112    40
  78    1.3081E-002   -1.5848E+000   113    40
  79    1.1773E-002   -1.5907E+000   114    42
  80    1.0596E-002   -1.6082E+000   111    36
  81    9.5361E-003   -1.6036E+000   109    43
  82    8.5825E-003   -1.6008E+000   117    31
  83    7.7242E-003   -1.6010E+000   107    37
  84    6.9518E-003   -1.6038E+000   111    31
  85    6.2566E-003   -1.5980E+000   110    41
  86    5.6310E-003   -1.6029E+000   114    36
  87    5.0679E-003   -1.5986E+000   112    35
  88    4.5611E-003   -1.6056E+000   112    39
  89    4.1050E-003   -1.6047E+000   118    39
  90    3.6945E-003   -1.6070E+000   112    36
  91    3.3250E-003   -1.6047E+000   118    35
  92    2.9925E-003   -1.6084E+000   106    35
  93    2.6933E-003   -1.6028E+000   118    43
  94    2.4239E-003   -1.6050E+000   116    37
  95    2.1816E-003   -1.6072E+000   117    38
  96    1.9634E-003   -1.6076E+000   104    41
  97    1.7671E-003   -1.6080E+000   114    42
  98    1.5904E-003   -1.6066E+000   122    40
  99    1.4313E-003   -1.6081E+000   115    36
 100    1.2882E-003   -1.6046E+000   116    40
 101    1.1594E-003   -1.6075E+000   108    38
 102    1.0434E-003   -1.6078E+000   116    31
 103    9.3909E-004   -1.6083E+000   112    36
 104    8.4518E-004   -1.6070E+000   118    36
 105    7.6066E-004   -1.6074E+000   114    37
 106    6.8459E-004   -1.6083E+000   113    38
 107    6.1613E-004   -1.6048E+000   121    37
 108    5.5452E-004   -1.6081E+000   101    35
 109    4.9907E-004   -1.6084E+000   119    37
 110    4.4916E-004   -1.6085E+000   115    36
 111    4.0425E-004   -1.6081E+000   111    40
 112    3.6382E-004   -1.6085E+000   113    35
 113    3.2744E-004   -1.6084E+000   112    38
 114    2.9470E-004   -1.6084E+000   116    35
 115    2.6523E-004   -1.6084E+000   114    41
 116    2.3870E-004   -1.6082E+000   115    36
 117    2.1483E-004   -1.6083E+000   115    36
 118    1.9335E-004   -1.6081E+000   112    42
 119    1.7401E-004   -1.6082E+000   106    38
 120    1.5661E-004   -1.6083E+000   119    40
 121    1.4095E-004   -1.6084E+000   117    38
 122    1.2686E-004   -1.6084E+000   115    39
 123    1.1417E-004   -1.6084E+000   112    38
 124    1.0275E-004   -1.6084E+000   115    33
 125    9.2479E-005   -1.6085E+000   109    39
 126    8.3231E-005   -1.6083E+000   122    40
 127    7.4908E-005   -1.6085E+000   114    43
 128    6.7417E-005   -1.6085E+000   112    37
 129    6.0675E-005   -1.6085E+000   113    44
 130    5.4608E-005   -1.6084E+000   113    31
 131    4.9147E-005   -1.6085E+000   111    32
 132    4.4232E-005   -1.6084E+000   113    41
 133    3.9809E-005   -1.6085E+000   114    37
 134    3.5828E-005   -1.6085E+000   110    43
 135    3.2245E-005   -1.6084E+000   118    36
 136    2.9021E-005   -1.6085E+000   111    30
 137    2.6119E-005   -1.6085E+000   110    40
 138    2.3507E-005   -1.6085E+000   116    38
 139    2.1156E-005   -1.6085E+000   111    39
 140    1.9041E-005   -1.6085E+000   113    32
 141    1.7136E-005   -1.6085E+000   119    43
 142    1.5423E-005   -1.6085E+000   118    36
 143    1.3881E-005   -1.6085E+000   111    39
 144    1.2492E-005   -1.6085E+000   116    40
 145    1.1243E-005   -1.6085E+000   108    37
 146    1.0119E-005   -1.6085E+000   120    36
 147    9.1070E-006   -1.6085E+000   115    42
 148    8.1963E-006   -1.6085E+000   113    40
 149    7.3767E-006   -1.6085E+000   116    36
 150    6.6390E-006   -1.6085E+000   113    40
 151    5.9751E-006   -1.6085E+000   116    34
 152    5.3776E-006   -1.6085E+000   104    32
 153    4.8398E-006   -1.6085E+000   116    32
 154    4.3559E-006   -1.6085E+000   115    34
 155    3.9203E-006   -1.6085E+000   116    41
 156    3.5282E-006   -1.6085E+000   110    33
 157    3.1754E-006   -1.6085E+000   108    38
 158    2.8579E-006   -1.6085E+000   114    37
 159    2.5721E-006   -1.6085E+000   114    41
 160    2.3149E-006   -1.6085E+000   119    39
 161    2.0834E-006   -1.6085E+000   114    37
 162    1.8751E-006   -1.6085E+000   108    35
 163    1.6875E-006   -1.6085E+000   120    40
 164    1.5188E-006   -1.6085E+000   119    33
 165    1.3669E-006   -1.6085E+000   104    37
 166    1.2302E-006   -1.6085E+000   115    41
 167    1.1072E-006   -1.6085E+000   113    41
 168    9.9648E-007   -1.6085E+000   117    35
 169    8.9683E-007   -1.6085E+000   118    37
 170    8.0715E-007   -1.6085E+000   109    30
 171    7.2643E-007   -1.6085E+000   108    39
 172    6.5379E-007   -1.6085E+000   111    39
 173    5.8841E-007   -1.6085E+000   118    32
 174    5.2957E-007   -1.6085E+000   113    38
 175    4.7661E-007   -1.6085E+000   108    35
 176    4.2895E-007   -1.6085E+000   115    39
 177    3.8606E-007   -1.6085E+000   115    43
 178    3.4745E-007   -1.6085E+000   115    40
 179    3.1271E-007   -1.6085E+000   115    39
 180    2.8144E-007   -1.6085E+000   115    40
 181    2.5329E-007   -1.6085E+000   109    30
 182    2.2796E-007   -1.6085E+000   111    32
 183    2.0517E-007   -1.6085E+000   115    39
 184    1.8465E-007   -1.6085E+000   106    38
 185    1.6618E-007   -1.6085E+000   112    41
 186    1.4957E-007   -1.6085E+000   119    38
 187    1.3461E-007   -1.6085E+000   114    42
 188    1.2115E-007   -1.6085E+000   114    37
 189    1.0903E-007   -1.6085E+000   112    35
 190    9.8131E-008   -1.6085E+000   113    38
 191    8.8317E-008   -1.6085E+000   113    39
 192    7.9486E-008   -1.6085E+000   111    39
 193    7.1537E-008   -1.6085E+000   113    42
 194    6.4383E-008   -1.6085E+000   116    33
 195    5.7945E-008   -1.6085E+000   116    38
 196    5.2151E-008   -1.6085E+000   113    38
 197    4.6936E-008   -1.6085E+000   110    39
 198    4.2242E-008   -1.6085E+000   117    38
 199    3.8018E-008   -1.6085E+000   108    36
 200    3.4216E-008   -1.6085E+000   114    35
 201    3.0794E-008   -1.6085E+000   114    37
 202    2.7715E-008   -1.6085E+000   114    41
 203    2.4943E-008   -1.6085E+000   110    29
 204    2.2449E-008   -1.6085E+000   115    37
 205    2.0204E-008   -1.6085E+000   109    39
 206    1.8184E-008   -1.6085E+000   115    40
 207    1.6365E-008   -1.6085E+000   116    40
 208    1.4729E-008   -1.6085E+000   120    34
 209    1.3256E-008   -1.6085E+000   115    42
 210    1.1930E-008   -1.6085E+000   113    24
 211    1.0737E-008   -1.6085E+000   114    38
 212    9.6636E-009   -1.6085E+000   112    32
 213    8.6972E-009   -1.6085E+000   106    35
 214    7.8275E-009   -1.6085E+000   115    37
 215    7.0448E-009   -1.6085E+000   115    39
 216    6.3403E-009   -1.6085E+000   116    38
 217    5.7063E-009   -1.6085E+000   107    39
 218    5.1356E-009   -1.6085E+000   112    30
 219    4.6221E-009   -1.6085E+000   112    44
 220    4.1599E-009   -1.6085E+000   114    40
 221    3.7439E-009   -1.6085E+000   113    36
 222    3.3695E-009   -1.6085E+000   115    44
 223    3.0325E-009   -1.6085E+000   113    32
 224    2.7293E-009   -1.6085E+000   105    40
 225    2.4564E-009   -1.6085E+000   111    41
 226    2.2107E-009   -1.6085E+000   112    38
 227    1.9897E-009   -1.6085E+000   115    40
 228    1.7907E-009   -1.6085E+000   118    41
 229    1.6116E-009   -1.6085E+000   112    34
 230    1.4505E-009   -1.6085E+000   113    36
 231    1.3054E-009   -1.6085E+000   112    39
 232    1.1749E-009   -1.6085E+000   116    38
 233    1.0574E-009   -1.6085E+000   110    40
 234    9.5164E-010   -1.6085E+000   120    38
 235    8.5648E-010   -1.6085E+000   105    38
 236    7.7083E-010   -1.6085E+000   122    33
 237    6.9375E-010   -1.6085E+000   104    39
 238    6.2437E-010   -1.6085E+000   114    44
 239    5.6194E-010   -1.6085E+000   113    35
 240    5.0574E-010   -1.6085E+000   112    39
 241    4.5517E-010   -1.6085E+000   116    41
 242    4.0965E-010   -1.6085E+000   114    35
 243    3.6869E-010   -1.6085E+000   110    30
 244    3.3182E-010   -1.6085E+000   113    38
 245    2.9864E-010   -1.6085E+000   115    45
 246    2.6877E-010   -1.6085E+000   109    35
 247    2.4190E-010   -1.6085E+000   113    39
 248    2.1771E-010   -1.6085E+000   115    33
 249    1.9594E-010   -1.6085E+000   110    39
 250    1.7634E-010   -1.6085E+000   113    38
 251    1.5871E-010   -1.6085E+000   111    38
 252    1.4284E-010   -1.6085E+000   120    35
 253    1.2855E-010   -1.6085E+000   113    34
 254    1.1570E-010   -1.6085E+000   112    45
 255    1.0413E-010   -1.6085E+000   110    33
 256    9.3715E-011   -1.6085E+000   116    33
 257    8.4344E-011   -1.6085E+000   112    36
 258    7.5909E-011   -1.6085E+000   114    35
 259    6.8318E-011   -1.6085E+000   113    40
 260    6.1486E-011   -1.6085E+000   109    35
 261    5.5338E-011   -1.6085E+000   115    36
 262    4.9804E-011   -1.6085E+000   114    36
 263    4.4824E-011   -1.6085E+000   113    46
 264    4.0341E-011   -1.6085E+000   107    37
 265    3.6307E-011   -1.6085E+000   111    27
 266    3.2676E-011   -1.6085E+000   117    35
 267    2.9409E-011   -1.6085E+000   107    40
 268    2.6468E-011   -1.6085E+000   120    41
 269    2.3821E-011   -1.6085E+000   113    35
 270    2.1439E-011   -1.6085E+000   110    37
 271    1.9295E-011   -1.6085E+000   110    32
 272    1.7366E-011   -1.6085E+000   113    42
 273    1.5629E-011   -1.6085E+000   117    31
 274    1.4066E-011   -1.6085E+000   110    38
 275    1.2660E-011   -1.6085E+000   111    37
 276    1.1394E-011   -1.6085E+000   108    37
 277    1.0254E-011   -1.6085E+000   113    32
 278    9.2288E-012   -1.6085E+000   114    36
 279    8.3059E-012   -1.6085E+000   101    35
 280    7.4753E-012   -1.6085E+000   117    40
 281    6.7278E-012   -1.6085E+000   105    42
 282    6.0550E-012   -1.6085E+000   118    30
 283    5.4495E-012   -1.6085E+000   110    34
 284    4.9046E-012   -1.6085E+000   112    35
 285    4.4141E-012   -1.6085E+000   110    41
 286    3.9727E-012   -1.6085E+000   113    35
 287    3.5754E-012   -1.6085E+000   108    39
 288    3.2179E-012   -1.6085E+000   117    39
 289    2.8961E-012   -1.6085E+000   118    30
 290    2.6065E-012   -1.6085E+000   111    43
 291    2.3458E-012   -1.6085E+000   118    34
 292    2.1113E-012   -1.6085E+000   111    36
 293    1.9001E-012   -1.6085E+000   110    35
 294    1.7101E-012   -1.6085E+000   107    40
 295    1.5391E-012   -1.6085E+000   115    40
 296    1.3852E-012   -1.6085E+000   109    37
 297    1.2467E-012   -1.6085E+000   113    39
 298    1.1220E-012   -1.6085E+000   110    36
 299    1.0098E-012   -1.6085E+000   107    37
 300    9.0882E-013   -1.6085E+000   118    36
 301    8.1794E-013   -1.6085E+000   114    39
 302    7.3615E-013   -1.6085E+000   109    37
 303    6.6253E-013   -1.6085E+000   106    36
 304    5.9628E-013   -1.6085E+000   118    30
 305    5.3665E-013   -1.6085E+000   112    40
 306    4.8299E-013   -1.6085E+000   113    39
 307    4.3469E-013   -1.6085E+000   110    44
 308    3.9122E-013   -1.6085E+000   107    35
 309    3.5210E-013   -1.6085E+000   114    43
 310    3.1689E-013   -1.6085E+000   119    32
 311    2.8520E-013   -1.6085E+000   106    38
 312    2.5668E-013   -1.6085E+000   114    38
 313    2.3101E-013   -1.6085E+000   117    43
 314    2.0791E-013   -1.6085E+000   106    33
 315    1.8712E-013   -1.6085E+000   115    36
 316    1.6841E-013   -1.6085E+000   113    35
 317    1.5157E-013   -1.6085E+000   113    32
 318    1.3641E-013   -1.6085E+000   120    38
 319    1.2277E-013   -1.6085E+000   115    41
 320    1.1049E-013   -1.6085E+000   117    35
 321    9.9443E-014   -1.6085E+000   117    35
 322    8.9498E-014   -1.6085E+000   113    40
 323    8.0549E-014   -1.6085E+000   107    29
 324    7.2494E-014   -1.6085E+000   109    37
 325    6.5244E-014   -1.6085E+000   119    34
 326    5.8720E-014   -1.6085E+000   117    42
 327    5.2848E-014   -1.6085E+000   110    37
 328    4.7563E-014   -1.6085E+000   116    41
 329    4.2807E-014   -1.6085E+000   110    38
 330    3.8526E-014   -1.6085E+000   113    42
 331    3.4674E-014   -1.6085E+000   113    38
 332    3.1206E-014   -1.6085E+000   119    36
 333    2.8086E-014   -1.6085E+000   114    36
 334    2.5277E-014   -1.6085E+000   113    41
 335    2.2749E-014   -1.6085E+000   118    43
 336    2.0474E-014   -1.6085E+000   111    39
 337    1.8427E-014   -1.6085E+000   116    47
 338    1.6584E-014   -1.6085E+000   117    36
 339    1.4926E-014   -1.6085E+000   117    43
 340    1.3433E-014   -1.6085E+000   117    37
 341    1.2090E-014   -1.6085E+000   117    38
 342    1.0881E-014   -1.6085E+000   111    38
 343    9.7928E-015   -1.6085E+000   105    35
 344    8.8135E-015   -1.6085E+000   116    39
 345    7.9322E-015   -1.6085E+000   117    37
 346    7.1390E-015   -1.6085E+000   118    39
 347    6.4251E-015   -1.6085E+000   120    43
 348    5.7826E-015   -1.6085E+000   113    40
 349    5.2043E-015   -1.6085E+000   113    35
 350    4.6839E-015   -1.6085E+000   117    45
 351    4.2155E-015   -1.6085E+000   110    43
 352    3.7939E-015   -1.6085E+000   116    30
 353    3.4145E-015   -1.6085E+000   113    49
 354    3.0731E-015   -1.6085E+000   115    34
 355    2.7658E-015   -1.6085E+000   108    39
 356    2.4892E-015   -1.6085E+000   121    40
 357    2.2403E-015   -1.6085E+000   112    40
 358    2.0163E-015   -1.6085E+000   118    45
 359    1.8146E-015   -1.6085E+000   126    44
 360    1.6332E-015   -1.6085E+000   117    45
 361    1.4699E-015   -1.6085E+000   119    50
 362    1.3229E-015   -1.6085E+000   125    44
 363    1.1906E-015   -1.6085E+000   116    44
 364    1.0715E-015   -1.6085E+000   120    44
 365    9.6437E-016   -1.6085E+000   122    49
 366    8.6793E-016   -1.6085E+000   124    47
 367    7.8114E-016   -1.6085E+000   124    46
 368    7.0302E-016   -1.6085E+000   119    41
 369    6.3272E-016   -1.6085E+000   127    50
 370    5.6945E-016   -1.6085E+000   126    52
 371    5.1251E-016   -1.6085E+000   127    50
 372    4.6125E-016   -1.6085E+000   128    56
 373    4.1513E-016   -1.6085E+000   128    56
 374    3.7362E-016   -1.6085E+000   131    53
 375    3.3625E-016   -1.6085E+000   133    54
 376    3.0263E-016   -1.6085E+000   130    52
 377    2.7237E-016   -1.6085E+000   133    59
 378    2.4513E-016   -1.6085E+000   130    56
 379    2.2062E-016   -1.6085E+000   137    58
 380    1.9856E-016   -1.6085E+000   138    67
 381    1.7870E-016   -1.6085E+000   139    58
 382    1.6083E-016   -1.6085E+000   143    70
 383    1.4475E-016   -1.6085E+000   143    65
 384    1.3027E-016   -1.6085E+000   139    66
 385    1.1724E-016   -1.6085E+000   142    64
 386    1.0552E-016   -1.6085E+000   144    67
 387    9.4968E-017   -1.6085E+000   142    75
 388    8.5471E-017   -1.6085E+000   145    65
 389    7.6924E-017   -1.6085E+000   146    61
 390    6.9232E-017   -1.6085E+000   149    80
 391    6.2309E-017   -1.6085E+000   149    79
 392    5.6078E-017   -1.6085E+000   148    71
 393    5.0470E-017   -1.6085E+000   150    71
 394    4.5423E-017   -1.6085E+000   150    74
 395    4.0881E-017   -1.6085E+000   150    80
 396    3.6793E-017   -1.6085E+000   150    75
 397    3.3113E-017   -1.6085E+000   150    73
 398    2.9802E-017   -1.6085E+000   150    78
 399    2.6822E-017   -1.6085E+000   150    68
 400    2.4140E-017   -1.6085E+000   150    75
 401    2.1726E-017   -1.6085E+000   150    75
 402    1.9553E-017   -1.6085E+000   150    78
 403    1.7598E-017   -1.6085E+000   150    73
 404    1.5838E-017   -1.6085E+000   150    77
 405    1.4254E-017   -1.6085E+000   150    74
 406    1.2829E-017   -1.6085E+000   150    72
 407    1.1546E-017   -1.6085E+000   150    75
 408    1.0391E-017   -1.6085E+000   150    75
 409    9.3522E-018   -1.6085E+000   150    76
 410    8.4170E-018   -1.6085E+000   150    67
 411    7.5753E-018   -1.6085E+000   150    83
 412    6.8178E-018   -1.6085E+000   150    74
 413    6.1360E-018   -1.6085E+000   150    73
 414    5.5224E-018   -1.6085E+000   150    73
 415    4.9701E-018   -1.6085E+000   150    80
 416    4.4731E-018   -1.6085E+000   150    72
 417    4.0258E-018   -1.6085E+000   150    77
 418    3.6232E-018   -1.6085E+000   150    77
 419    3.2609E-018   -1.6085E+000   150    67
 420    2.9348E-018   -1.6085E+000   150    65
 421    2.6413E-018   -1.6085E+000   150    87
 422    2.3772E-018   -1.6085E+000   150    65
 423    2.1395E-018   -1.6085E+000   150    71
 424    1.9255E-018   -1.6085E+000   150    77
 425    1.7330E-018   -1.6085E+000   150    76
 426    1.5597E-018   -1.6085E+000   150    68
 427    1.4037E-018   -1.6085E+000   150    83
 428    1.2633E-018   -1.6085E+000   150    70
 429    1.1370E-018   -1.6085E+000   150    77
 430    1.0233E-018   -1.6085E+000   150    84
 431    9.2098E-019   -1.6085E+000   150    74
 432    8.2888E-019   -1.6085E+000   150    72
 433    7.4599E-019   -1.6085E+000   150    77
 434    6.7139E-019   -1.6085E+000   150    76
 435    6.0425E-019   -1.6085E+000   150    72
 436    5.4383E-019   -1.6085E+000   150    79
 437    4.8945E-019   -1.6085E+000   150    69
 438    4.4050E-019   -1.6085E+000   150    71
 439    3.9645E-019   -1.6085E+000   150    74
 440    3.5681E-019   -1.6085E+000   150    74
 441    3.2112E-019   -1.6085E+000   150    67
 442    2.8901E-019   -1.6085E+000   150    78
 443    2.6011E-019   -1.6085E+000   150    71
 444    2.3410E-019   -1.6085E+000   150    76
 445    2.1069E-019   -1.6085E+000   150    78
 446    1.8962E-019   -1.6085E+000   150    72
 447    1.7066E-019   -1.6085E+000   150    84
 448    1.5359E-019   -1.6085E+000   150    81
 449    1.3823E-019   -1.6085E+000   150    74
 450    1.2441E-019   -1.6085E+000   150    65
 451    1.1197E-019   -1.6085E+000   150    75
 452    1.0077E-019   -1.6085E+000   150    78
 453    9.0695E-020   -1.6085E+000   150    70
 454    8.1626E-020   -1.6085E+000   150    82
 455    7.3463E-020   -1.6085E+000   150    70
 456    6.6117E-020   -1.6085E+000   150    72
 457    5.9505E-020   -1.6085E+000   150    68
 458    5.3555E-020   -1.6085E+000   150    83
 459    4.8199E-020   -1.6085E+000   150    78
 460    4.3379E-020   -1.6085E+000   150    76
 461    3.9041E-020   -1.6085E+000   150    68
 462    3.5137E-020   -1.6085E+000   150    82
 463    3.1623E-020   -1.6085E+000   150    70
 464    2.8461E-020   -1.6085E+000   150    76
 465    2.5615E-020   -1.6085E+000   150    70
 466    2.3053E-020   -1.6085E+000   150    80
 467    2.0748E-020   -1.6085E+000   150    78
 468    1.8673E-020   -1.6085E+000   150    80
 469    1.6806E-020   -1.6085E+000   150    82
 470    1.5125E-020   -1.6085E+000   150    77
 471    1.3613E-020   -1.6085E+000   150    73
 472    1.2252E-020   -1.6085E+000   150    73
 473    1.1026E-020   -1.6085E+000   150    78
 474    9.9238E-021   -1.6085E+000   150    76
 475    8.9314E-021   -1.6085E+000   150    84
 476    8.0383E-021   -1.6085E+000   150    73
 477    7.2344E-021   -1.6085E+000   150    77
 478    6.5110E-021   -1.6085E+000   150    77
 479    5.8599E-021   -1.6085E+000   150    81
 480    5.2739E-021   -1.6085E+000   150    71
 481    4.7465E-021   -1.6085E+000   150    69
 482    4.2719E-021   -1.6085E+000   150    78
 483    3.8447E-021   -1.6085E+000   150    73
 484    3.4602E-021   -1.6085E+000   150    74
 485    3.1142E-021   -1.6085E+000   150    83
 486    2.8028E-021   -1.6085E+000   150    81
 487    2.5225E-021   -1.6085E+000   150    74
 488    2.2702E-021   -1.6085E+000   150    72
 489    2.0432E-021   -1.6085E+000   150    71
 490    1.8389E-021   -1.6085E+000   150    72
 491    1.6550E-021   -1.6085E+000   150    80
 492    1.4895E-021   -1.6085E+000   150    76
 493    1.3406E-021   -1.6085E+000   150    74
 494    1.2065E-021   -1.6085E+000   150    78
 495    1.0858E-021   -1.6085E+000   150    72
 496    9.7726E-022   -1.6085E+000   150    71
 497    8.7954E-022   -1.6085E+000   150    70
 498    7.9158E-022   -1.6085E+000   150    78
 499    7.1243E-022   -1.6085E+000   150    73
 500    6.4118E-022   -1.6085E+000   150    77
 501    5.7706E-022   -1.6085E+000   150    73
 502    5.1936E-022   -1.6085E+000   150    76
 503    4.6742E-022   -1.6085E+000   150    76
 504    4.2068E-022   -1.6085E+000   150    75
 505    3.7861E-022   -1.6085E+000   150    71
 506    3.4075E-022   -1.6085E+000   150    79
 507    3.0668E-022   -1.6085E+000   150    84
 508    2.7601E-022   -1.6085E+000   150    73
 509    2.4841E-022   -1.6085E+000   150    82
 510    2.2357E-022   -1.6085E+000   150    72
 511    2.0121E-022   -1.6085E+000   150    76
 512    1.8109E-022   -1.6085E+000   150    72
 513    1.6298E-022   -1.6085E+000   150    69
 514    1.4668E-022   -1.6085E+000   150    75
 515    1.3201E-022   -1.6085E+000   150    80
 516    1.1881E-022   -1.6085E+000   150    69
 517    1.0693E-022   -1.6085E+000   150    72
 518    9.6238E-023   -1.6085E+000   150    78
 519    8.6614E-023   -1.6085E+000   150    78
 520    7.7953E-023   -1.6085E+000   150    73
 521    7.0158E-023   -1.6085E+000   150    72
 522    6.3142E-023   -1.6085E+000   150    71
 523    5.6828E-023   -1.6085E+000   150    78
 524    5.1145E-023   -1.6085E+000   150    66
 525    4.6030E-023   -1.6085E+000   150    83
 526    4.1427E-023   -1.6085E+000   150    76
 527    3.7285E-023   -1.6085E+000   150    79
 528    3.3556E-023   -1.6085E+000   150    77
 529    3.0201E-023   -1.6085E+000   150    65
 530    2.7180E-023   -1.6085E+000   150    78
 531    2.4462E-023   -1.6085E+000   150    74
 532    2.2016E-023   -1.6085E+000   150    82
 533    1.9815E-023   -1.6085E+000   150    82
 534    1.7833E-023   -1.6085E+000   150    73
 535    1.6050E-023   -1.6085E+000   150    72
 536    1.4445E-023   -1.6085E+000   150    80
 537    1.3000E-023   -1.6085E+000   150    78
 538    1.1700E-023   -1.6085E+000   150    74
 539    1.0530E-023   -1.6085E+000   150    76
 540    9.4773E-024   -1.6085E+000   150    67
 541    8.5295E-024   -1.6085E+000   150    85
 542    7.6766E-024   -1.6085E+000   150    68
 543    6.9089E-024   -1.6085E+000   150    78
 544    6.2180E-024   -1.6085E+000   150    76
 545    5.5962E-024   -1.6085E+000   150    84
 546    5.0366E-024   -1.6085E+000   150    76
 547    4.5329E-024   -1.6085E+000   150    72
 548    4.0796E-024   -1.6085E+000   150    79
 549    3.6717E-024   -1.6085E+000   150    68
 550    3.3045E-024   -1.6085E+000   150    76
 551    2.9741E-024   -1.6085E+000   150    75
 552    2.6767E-024   -1.6085E+000   150    71
 553    2.4090E-024   -1.6085E+000   150    78
 554    2.1681E-024   -1.6085E+000   150    72
 555    1.9513E-024   -1.6085E+000   150    76
 556    1.7562E-024   -1.6085E+000   150    77
 557    1.5805E-024   -1.6085E+000   150    76
 558    1.4225E-024   -1.6085E+000   150    79
 559    1.2802E-024   -1.6085E+000   150    71
 560    1.1522E-024   -1.6085E+000   150    82
 561    1.0370E-024   -1.6085E+000   150    74
 562    9.3329E-025   -1.6085E+000   150    69
 563    8.3996E-025   -1.6085E+000   150    76
 564    7.5597E-025   -1.6085E+000   150    82
 565    6.8037E-025   -1.6085E+000   150    74
 566    6.1233E-025   -1.6085E+000   150    80
 567    5.5110E-025   -1.6085E+000   150    73
 568    4.9599E-025   -1.6085E+000   150    70
 569    4.4639E-025   -1.6085E+000   150    79
 570    4.0175E-025   -1.6085E+000   150    68
 571    3.6158E-025   -1.6085E+000   150    71
 572    3.2542E-025   -1.6085E+000   150    73
 573    2.9288E-025   -1.6085E+000   150    84
 574    2.6359E-025   -1.6085E+000   150    75
 575    2.3723E-025   -1.6085E+000   150    70
 576    2.1351E-025   -1.6085E+000   150    91
 577    1.9216E-025   -1.6085E+000   150    74
 578    1.7294E-025   -1.6085E+000   150    71
 579    1.5565E-025   -1.6085E+000   150    77
 580    1.4008E-025   -1.6085E+000   150    66
 581    1.2607E-025   -1.6085E+000   150    72
