Trinormal distribution
 Iter        X1        X2        X3
  273    1.0596    1.9563    3.2226
  274    1.1109    1.9382    3.2590
  275    1.0474    2.1668    2.9033
  276    1.0839    2.2537    3.0189
  277    1.1376    1.9149    3.1381
  278    0.9142    1.7700    2.9754
  279    1.0562    1.7840    3.3652
  280    1.0737    1.9317    3.4538
  281    1.0019    1.7567    3.3333
  282    0.9271    2.1157    3.0353
  283    0.9963    2.0665    2.8608
  284    0.9840    1.9772    3.0335
  285    1.0403    2.0371    2.8613
  286    1.0331    2.0446    3.0005
  287    1.0888    2.0284    3.3676
  288    1.1180    2.0276    3.1539
  289    1.0604    2.1692    3.1381
  290    1.0394    2.0481    3.1872
  291    0.9548    2.1816    2.8276
  292    1.0488    2.1803    2.7526
  293    0.9560    2.2312    2.6371
  294    0.9651    2.2179    2.6625
  295    0.8328    2.0207    2.4853
  296    0.8633    1.9295    3.0852
  297    0.8286    1.8439    2.9816
  298    0.9847    2.1511    3.1136
  299    0.9751    2.1030    2.6876
  300    0.9752    2.1416    2.8016
  301    1.0456    2.1038    2.8675
  302    0.9646    1.6961    2.8767
  303    0.9548    1.9549    2.7492
  304    0.9618    2.0034    2.8474
  305    0.9667    2.1333    2.6500
  306    1.1187    2.0134    3.1589
  307    1.0815    2.0817    2.9184
  308    1.1102    2.2650    2.8227
  309    1.1410    2.2790    2.8588
  310    1.0895    1.8230    2.9624
  311    0.9619    1.6673    3.1581
  312    0.9855    1.7707    3.3838
  313    1.0311    1.8102    3.2836
  314    1.0254    1.9347    3.1499
  315    0.9696    1.7747    2.8954
  316    0.8527    2.0154    2.6888
  317    1.0201    1.9863    2.9938
  318    1.0007    1.9635    2.8758
  319    1.0248    2.0600    2.8021
  320    1.0093    1.9465    2.8704
  321    0.9090    1.9652    2.6406
  322    0.7495    2.1475    2.8040
  323    0.6697    1.7827    2.9108
  324    0.6805    1.8166    2.8789
  325    0.7350    1.8002    3.1962
  326    0.5980    1.5827    2.8713
  327    0.6006    1.3931    2.6977
  328    0.5754    1.4186    2.4710
  329    0.5375    1.5218    2.2378
  330    0.5920    1.5414    2.4770
  331    0.6525    1.6293    2.4281
  332    0.6502    1.7742    2.2068
  333    0.6877    1.9517    1.9946
  334    0.7084    2.1004    1.9132
  335    0.8055    2.0031    2.3331
  336    0.8761    1.9575    2.9646
  337    0.8930    1.9667    2.7964
  338    0.9382    1.8242    3.2015
  339    0.8818    1.9850    2.6758
  340    1.0439    2.1869    3.1150
  341    1.0619    2.3162    3.2276
  342    0.9300    2.5087    2.4116
  343    0.9880    2.5001    2.7262
  344    0.9905    2.6223    2.7857
  345    1.1043    2.6817    2.8189
  346    1.1556    2.5376    3.0489
  347    1.0884    2.2575    2.7755
  348    1.0631    2.2558    2.7837
  349    1.1127    2.2576    2.9369
  350    1.0665    2.2625    2.8263
  351    1.0898    2.0495    2.7996
  352    1.0483    1.8886    2.7685
  353    1.0356    1.7588    3.2768
  354    1.0476    1.9247    3.2200
  355    1.1475    2.0351    3.5094
  356    0.9922    1.6980    3.1534
  357    0.9251    1.7728    2.9164
  358    1.0675    2.1539    3.1714
  359    0.9411    2.0733    2.7324
  360    0.9816    2.0727    3.2075
  361    0.8997    1.9386    3.1610
  362    0.9130    1.9508    3.1885
  363    0.9667    2.1985    2.9011
  364    1.0250    2.1079    2.9282
  365    0.9416    1.7415    2.8367
  366    0.9701    1.8729    2.6975
  367    0.8915    1.8484    2.6186
  368    1.0698    1.8747    2.9222
  369    0.9743    1.6479    3.1834
  370    0.8645    1.7554    2.9222
  371    0.9262    1.6945    3.0385
  372    1.0009    1.8583    2.8903
  373    0.9334    1.9128    2.9771
  374    0.9689    2.0960    2.9545
  375    0.8949    2.0950    2.8878
  376    1.0106    1.7991    3.2499
  377    0.8946    1.8765    2.8812
  378    0.9892    2.0840    2.7167
  379    1.0211    1.8543    2.8428
  380    1.0325    1.6391    3.2085
  381    1.0453    1.8302    3.0726
  382    1.0909    1.8764    3.0881
  383    0.9848    1.8038    2.8167
  384    1.1016    1.6818    3.0593
  385    1.1591    1.7344    3.5536
  386    1.2085    2.1444    3.4905
  387    0.9650    1.8472    3.6557
  388    0.9288    2.0064    3.5132
  389    0.9212    2.1523    3.4124
  390    0.9902    1.9741    3.5209
  391    1.1592    2.1170    3.7153
  392    1.1769    2.1774    3.4011
  393    1.0696    2.1343    3.3604
  394    0.9119    2.1035    2.9427
  395    0.8409    1.9129    2.3512
  396    0.8815    1.8374    2.7801
  397    0.7597    1.8069    2.6990
  398    0.7352    1.6873    3.1008
  399    0.8323    1.9344    3.2400
  400    0.9631    2.0952    3.4454
  401    0.9249    2.0582    3.3418
  402    0.9393    2.2512    3.1126
  403    0.9349    2.3461    2.7784
  404    0.9669    2.3978    2.8063
  405    0.9825    2.4944    2.6513
  406    0.9662    2.4183    2.6672
  407    0.9348    2.1923    2.3154
  408    0.9868    2.3287    2.4395
  409    0.9823    2.3995    2.5594
  410    0.9978    2.4360    2.5634
  411    1.0445    2.4441    2.6971
  412    1.0852    2.4458    2.7539
  413    0.9560    2.3833    2.4745
  414    1.1529    2.3758    2.9817
  415    1.1150    2.2198    2.7761
  416    1.2125    1.9468    3.0611
  417    1.2000    1.8962    3.2166
  418    1.1075    1.6679    3.4381
  419    1.1192    1.7150    3.5021
  420    1.0682    1.6840    3.2534
  421    1.0167    1.6570    3.2294
  422    0.9796    1.8321    3.2299
  423    1.0617    2.0430    3.3609
  424    0.9373    2.1783    2.8256
  425    0.7827    2.2925    2.5227
  426    0.9042    2.3177    2.8475
  427    0.9552    2.4072    2.7621
  428    0.9852    2.2429    2.7957
  429    1.0715    2.2070    3.1979
  430    0.9999    2.1710    2.8834
  431    1.0118    1.9046    3.1111
  432    1.0141    1.9358    3.1441
  433    0.9850    2.1404    2.9035
  434    0.9024    1.9611    2.9250
  435    0.9746    2.0264    2.7740
  436    0.8760    1.9810    2.3750
  437    1.1014    2.3045    2.8423
  438    0.9391    1.7928    2.8187
  439    0.9702    1.8124    3.0914
  440    1.0163    1.8586    2.7562
  441    0.8967    1.8223    2.7905
  442    0.9568    1.7559    3.2648
  443    1.0134    2.0564    3.2570
  444    1.1481    2.1614    3.1717
  445    1.1022    1.9270    3.4514
  446    1.1152    1.8882    3.6901
  447    1.1112    1.8186    3.4716
  448    1.0606    2.1440    3.3416
  449    1.0247    1.9949    3.0355
  450    0.9948    2.0092    3.0679
  451    0.9653    2.0638    2.9243
  452    0.9671    1.8745    3.0961
  453    1.0220    2.2085    2.6283
  454    1.0395    1.6907    3.2672
  455    1.0286    1.9585    3.3969
  456    1.0530    1.9000    3.2147
  457    1.0135    1.9869    2.8499
  458    0.9814    1.8903    2.8338
  459    0.9839    1.7171    3.1104
  460    1.0283    1.8593    3.0697
  461    1.0113    1.8906    3.1237
  462    1.0169    1.8157    3.3713
  463    1.0357    2.0479    3.3403
  464    1.0270    1.9231    3.2086
  465    1.0366    1.9456    3.1020
  466    0.9226    1.9324    2.7451
  467    0.9384    1.9406    2.9914
  468    1.0399    2.0874    2.9969
  469    1.0559    2.0101    3.2050
  470    0.9924    1.9011    3.0413
  471    1.1579    1.9870    3.3344
  472    1.1871    2.0394    3.2153
  473    1.1681    2.2484    3.1308
  474    0.9998    1.9463    3.0468
  475    1.1048    1.9028    3.1433
  476    0.9426    1.6831    2.8309
  477    0.7958    1.6764    2.5260
  478    0.7999    1.8888    2.3630
  479    0.8134    1.8163    2.6447
  480    1.0256    2.1873    2.7980
  481    0.8775    2.0612    2.8585
  482    0.8792    1.7854    2.7955
  483    0.7857    1.8781    2.6766
  484    0.9085    1.8958    3.0337
  485    0.9256    1.8707    3.1479
  486    1.1015    1.8697    3.0589
  487    0.9977    1.9350    2.6470
  488    0.9361    1.8532    2.5109
  489    0.9403    1.6596    2.6792
  490    0.9328    1.6797    2.5080
  491    1.0380    1.6608    3.0646
  492    0.9703    1.6003    2.9816
  493    0.9632    2.0011    2.7482
  494    1.0309    2.0572    3.1457
  495    1.1389    2.1841    3.3207
  496    1.1731    2.1915    3.2760
  497    0.9754    1.9784    2.6461
  498    1.0677    2.2965    2.8764
  499    0.9771    2.1465    2.9640
  500    0.8964    1.9871    2.7716
  501    0.9320    1.9748    3.0095
  502    0.8808    1.9104    2.7994
  503    0.8528    1.7796    2.5619
  504    0.9187    1.9666    2.8362
  505    1.1085    2.0943    3.0499
  506    1.1217    1.9356    3.2824
  507    1.1073    2.0869    3.0365
  508    0.9856    1.7961    3.1068
  509    1.0310    1.8332    2.9141
  510    0.9178    1.8834    2.4721
  511    1.0561    1.9926    2.6237
  512    1.2200    2.0733    3.0814
  513    1.2576    2.0651    3.3969
  514    1.3116    2.2365    2.9873
  515    1.3084    2.1696    3.3401
  516    1.1876    2.0367    3.3569
  517    1.1898    1.9571    3.4212
  518    1.1714    1.9935    3.3012
  519    1.1157    1.9260    2.9009
  520    1.1032    2.0467    2.8745
  521    1.1216    2.3926    2.8511
  522    1.0665    2.2723    3.1378
  523    1.1179    2.1607    3.2502
  524    1.0296    2.0196    3.2802
  525    1.0365    1.9041    3.4819
  526    1.0602    1.7611    3.5161
  527    1.1119    1.9935    3.6690
  528    1.1283    2.0331    3.5227
  529    1.2010    1.9173    3.6862
  530    1.2717    2.1509    3.9334
  531    1.2365    2.0225    3.8111
  532    1.2145    2.0098    3.8663
  533    1.2036    2.0121    3.7652
  534    1.2126    1.8351    3.4275
  535    1.2510    1.6904    3.9536
  536    1.3078    2.0102    3.8238
  537    1.3306    2.0007    3.8154
  538    1.3319    1.9766    3.8510
  539    1.2546    2.0229    3.7885
  540    1.1534    2.4565    3.1738
  541    1.0354    2.2140    2.8522
  542    1.0734    2.0205    3.0301
  543    1.1094    1.9965    3.3191
  544    0.8506    1.9798    2.6781
  545    0.8199    1.6845    2.8978
  546    0.9524    1.6460    3.0876
  547    0.9360    1.7793    3.0351
  548    0.8848    1.6799    3.0478
  549    0.9669    1.7184    3.1770
  550    0.9984    1.7544    3.3603
  551    0.9669    1.9783    2.9767
  552    0.9540    2.4510    2.6628
  553    1.0559    2.2925    3.1681
  554    1.0401    2.4941    3.0643
  555    0.9946    2.5692    3.0224
  556    0.8625    2.2046    3.0066
  557    0.9129    2.5830    2.7357
  558    0.9615    2.5922    2.5294
  559    1.0504    2.1812    2.9884
  560    1.0313    2.0792    3.2969
  561    0.8758    2.0271    2.5434
  562    0.8179    1.4725    2.9860
  563    0.9127    1.4586    2.9719
  564    1.0438    1.5036    3.3305
  565    1.0748    1.6039    3.1069
  566    0.9431    1.5006    3.1755
  567    1.0706    2.0355    3.4623
  568    1.0161    1.7529    3.2939
  569    0.9807    1.7108    3.0991
  570    1.1459    1.7860    3.2959
  571    1.1139    1.9955    2.7964
  572    0.9742    1.6805    2.8878
  573    1.0103    1.8364    2.8601
  574    0.9426    1.9026    2.8150
  575    1.0084    1.9983    3.0991
  576    0.9815    1.8359    3.3470
  577    1.0220    1.8142    2.9910
  578    0.9320    1.9105    2.7875
  579    0.9908    1.9020    2.9950
  580    1.0324    1.9573    3.1960
  581    0.9040    2.0798    2.7517
  582    1.0631    2.2278    3.0567
  583    0.9551    2.2918    2.7577
  584    1.0134    2.2640    2.8617
  585    1.0709    2.1809    3.0535
  586    0.9501    1.9949    3.0325
  587    1.0014    1.9057    3.5017
  588    0.9678    2.0447    3.1189
  589    1.0106    2.2929    3.1631
  590    1.0222    2.0065    3.5596
  591    1.0312    2.3401    3.1210
  592    1.1459    2.2732    3.4381
  593    1.1225    2.2258    3.0925
  594    1.1851    2.1187    2.9712
  595    1.1087    1.8735    3.0723
  596    1.1430    2.0270    3.1268
  597    1.0830    2.0789    2.9087
  598    1.1063    2.2815    2.8058
  599    1.0343    2.0808    2.9279
  600    1.0616    1.9159    3.1419
  601    1.0283    2.1999    2.6878
  602    1.1189    2.3268    2.9880
  603    0.9623    2.1536    3.0134
  604    1.0167    1.9786    3.4774
  605    0.9206    1.7177    3.3772
  606    0.8939    1.4812    3.5302
  607    0.9827    1.4391    3.6232
  608    1.0046    1.5796    3.7642
  609    0.8407    1.4572    3.5845
  610    0.7170    1.4377    3.0490
  611    0.8173    1.4421    3.0957
  612    0.9213    1.5681    3.0498
  613    0.8359    1.6634    2.9667
  614    0.8474    1.4406    3.3330
  615    0.9187    1.4358    3.1846
  616    0.9672    1.5568    3.0574
  617    1.0009    1.6086    3.0746
  618    0.7579    1.4599    2.6119
  619    0.7832    1.2974    2.8205
  620    0.8666    1.2864    2.7693
  621    0.9637    1.6244    2.8085
  622    1.1146    1.7184    3.2855
  623    1.0185    1.6668    3.0655
  624    0.9753    1.6370    3.0303
  625    1.0779    1.6200    3.5420
  626    1.0406    1.7849    3.3441
  627    0.9532    1.6940    3.4026
  628    0.9145    1.6940    3.2169
  629    0.9496    1.6105    3.0790
  630    1.0877    1.6950    3.3885
  631    1.0991    1.8364    3.0437
  632    1.0451    1.8244    3.0949
  633    1.0719    1.8630    3.0264
  634    1.0343    2.0665    3.0562
  635    0.9928    2.3249    2.7157
  636    0.8994    1.9462    3.1137
  637    0.8103    2.0694    2.6690
  638    0.8326    1.9532    2.6881
  639    0.8674    2.0833    2.5946
  640    0.9014    2.0170    2.5048
  641    1.0048    1.8243    2.9403
  642    0.9386    1.6649    3.0057
  643    0.8205    1.8032    2.7585
  644    0.9120    2.3279    2.6997
  645    1.0458    2.1678    3.0954
  646    0.9861    2.1588    3.1209
  647    1.0753    2.2011    3.1119
  648    1.0387    2.1966    2.8301
  649    0.9573    2.1191    2.6591
  650    0.9629    1.9995    2.5258
  651    0.9905    2.0557    2.5314
  652    1.0278    2.0019    2.8659
  653    1.0332    1.9731    2.4839
  654    1.1306    2.0740    2.8717
  655    1.1628    2.1316    3.0571
  656    1.1264    2.3443    3.1462
  657    1.1168    2.3106    3.1924
  658    1.1352    2.3649    2.9370
  659    1.1393    2.2072    2.9374
  660    1.0960    2.2002    2.9688
  661    0.9594    1.6601    3.0789
  662    0.8476    1.7459    2.4879
  663    0.7884    1.6681    2.5876
  664    0.8324    1.8952    2.2835
  665    1.0636    1.6163    3.1419
  666    1.1451    1.7026    3.3979
  667    1.1010    1.6055    3.5276
  668    1.1603    1.8207    3.4772
  669    1.0810    1.6545    3.1967
  670    1.0893    1.8203    2.9967
  671    1.1705    1.9770    2.9399
  672    1.1394    2.0325    2.8115
  673    1.1742    1.9948    2.9243
  674    0.9303    1.9095    2.9569
  675    0.9526    1.8932    2.9393
  676    0.9349    2.1834    2.9531
  677    1.0268    2.1944    3.1834
  678    0.9327    2.0920    3.1317
  679    0.8581    1.8825    2.7432
  680    0.9108    1.7896    2.8185
  681    0.9530    2.0431    2.8105
  682    1.0088    2.1457    2.6073
  683    1.0975    2.0670    2.9301
  684    1.1181    2.0620    2.9625
  685    1.1235    1.9309    2.8619
  686    1.0315    2.4027    2.2955
  687    1.1343    2.3831    2.5511
  688    1.0867    2.2335    2.3477
  689    1.1227    2.3831    2.5807
  690    1.0766    2.4169    2.2845
  691    1.0993    2.2532    2.7665
  692    1.1505    1.7442    3.4282
  693    1.0668    1.9376    3.2851
  694    0.9399    1.8615    2.8057
  695    0.9174    1.6230    3.0250
  696    1.1020    1.8179    3.2157
  697    0.9070    2.1092    2.6745
  698    0.8367    1.8151    2.6412
  699    0.9905    2.0169    2.8648
  700    1.0724    1.9619    3.1436
  701    1.0532    2.0700    3.0848
  702    0.9572    1.8988    2.9706
  703    1.0302    2.0642    2.9301
  704    0.9762    2.1711    2.7479
  705    0.9220    2.0913    2.7099
  706    1.0471    2.2496    2.8938
  707    0.9551    2.1783    2.6695
  708    0.9698    2.4210    2.6209
  709    0.9543    2.3551    2.4713
  710    1.0562    2.2707    2.8147
  711    0.9122    2.2731    2.4796
  712    1.0220    2.0046    3.1700
  713    0.9501    2.1489    2.6033
  714    0.9630    2.1631    2.6888
  715    1.0000    2.2791    2.5328
  716    0.9514    2.1558    2.4784
  717    0.8579    1.7819    2.7994
  718    0.8360    1.9831    2.8566
  719    0.8185    1.8468    2.9117
  720    0.8982    2.1359    2.7550
  721    0.9340    1.9270    2.9433
  722    0.7654    1.9629    2.6269
  723    0.9315    1.7778    3.2210
  724    1.0586    1.8976    3.4770
  725    1.1148    1.8773    3.4487
  726    1.0745    1.7866    3.5702
  727    1.0911    1.7426    3.6992
  728    1.0992    1.5512    3.5857
  729    0.9958    1.4828    3.0468
  730    1.0786    1.4576    3.1953
  731    1.1617    1.6488    3.1647
  732    1.1797    1.8597    3.5716
  733    1.2053    1.7497    3.7489
  734    1.2044    1.9376    3.7071
  735    1.0631    1.9893    3.7455
  736    0.8446    1.8604    3.3990
  737    0.9420    1.9977    3.2410
  738    0.7509    1.8582    2.7386
  739    0.6800    1.7833    2.2931
  740    0.7524    1.6617    2.6058
  741    0.9223    1.8988    2.9315
  742    0.9089    1.8407    2.9523
  743    0.8531    2.0685    2.5985
  744    0.8989    2.0615    2.8742
  745    0.8072    2.0122    2.7422
  746    0.7997    2.0655    2.4412
  747    0.9248    2.0004    2.8832
  748    0.8290    1.9332    2.7355
  749    0.8574    1.8938    2.8380
  750    0.8225    1.8969    2.5596
  751    0.7445    1.8589    2.3468
  752    0.7738    1.5746    2.9994
  753    0.8918    1.4265    2.7788
  754    0.9016    1.5459    2.7249
  755    0.9581    1.6338    2.9004
  756    0.9508    1.7810    2.9264
  757    0.9747    2.2005    2.5214
  758    0.9761    2.0645    3.0179
  759    1.0389    1.8992    3.1865
  760    1.1124    2.0750    3.4650
  761    1.0658    2.2695    3.3538
  762    0.9522    1.9884    3.2221
  763    1.0931    1.8332    3.4829
  764    0.9799    1.7039    3.2785
  765    0.8487    1.6686    2.9310
  766    0.8017    1.8300    2.6886
  767    0.8559    1.8553    2.9436
  768    1.0139    1.7839    3.1047
  769    0.9388    1.7816    3.2180
  770    0.8633    1.7398    2.7624
  771    0.9340    2.0487    2.8607
  772    0.8733    1.8886    2.7186
  773    0.9658    1.9686    3.1177
  774    0.9797    1.9145    3.0890
  775    1.0638    2.0733    3.1714
